city,state,murders_2015,murders_2016,change
Chicago,Illinois,378,536,158
Orlando,Florida,19,73,54
Memphis,Tennessee,114,158,44
Phoenix,Arizona,72,111,39
Las Vegas,Nevada,90,125,35
San Antonio,Texas,78,111,33
Louisville,Kentucky,52,79,27
Dallas,Texas,95,118,23
Houston,Texas,191,212,21
Fort Wayne,Indiana,17,34,17
Atlanta,Georgia,68,85,17
Indianapolis,Indiana,102,117,15
Austin,Texas,13,28,15
Kansas City,Missouri,77,90,13
Arlington,Texas,4,17,13
San Jose,California,22,35,13
Albuquerque,New Mexico,35,46,11
Jacksonville,Florida,67,78,11
Santa Ana,California,10,20,10
Tulsa,Oklahoma,43,52,9
Lincoln,Nebraska,0,9,9
Stockton,California,30,38,8
Anchorage,Alaska,19,26,7
Buffalo,New York,31,38,7
San Diego,California,23,30,7
Mobile,Alabama,6,12,6
Greensboro,North Carolina,15,20,5
Durham,North Carolina,25,30,5
Detroit,Michigan,216,221,5
St. Petersburg,Florida,9,14,5
Philadelphia,Pennsylvania,209,213,4
Long Beach,California,25,29,4
Lexington,Kentucky,13,16,3
Aurora,Colorado,13,16,3
Jersey City,New Jersey,11,14,3
Plano,Texas,2,5,3
Colorado Springs,Colorado,12,15,3
Toledo,Ohio,5,8,3
El Paso,Texas,12,14,2
Laredo,Texas,7,9,2
Nashville,Tennessee,47,49,2
Oklahoma City,Oklahoma,28,30,2
Henderson,Nevada,1,3,2
Chandler,Arizona,2,3,1
Denver,Colorado,32,33,1
Riverside,California,6,7,1
Bakersfield,California,21,22,1
Boston,Massachusetts,28,28,0
Cincinnati,Ohio,50,50,0
Pittsburgh,Pennsylvania,46,46,0
Columbus,Ohio,71,70,-1
Raleigh,North Carolina,8,7,-1
Corpus Christi,Texas,10,9,-1
Charlotte-Mecklenburg,North Carolina,27,25,-2
New Orleans,Louisiana,130,127,-3
San Francisco,California,35,32,-3
Seattle,Washington,17,14,-3
St. Louis,Missouri,136,133,-3
Honolulu,Hawaii,12,9,-3
Wichita,Kansas,13,10,-3
Virginia Beach,Virginia,17,13,-4
Newark,New Jersey,76,72,-4
Los Angeles,California,209,205,-4
Chula Vista,California,5,1,-4
Portland,Oregon,19,14,-5
Tucson,Arizona,23,18,-5
Anaheim,California,10,4,-6
Cleveland,Ohio,96,89,-7
Minneapolis,Minnesota,34,26,-8
Sacramento,California,31,21,-10
Fresno,California,30,19,-11
Fort Worth,Texas,61,49,-12
Oakland,California,65,52,-13
Washington,D.C.,119,105,-14
New York,New York,266,252,-14
Omaha,Nebraska,34,20,-14
Miami,Florida,62,45,-17
Baltimore,Maryland,249,230,-19
Milwaukee,Wisconsin,105,84,-21
